,Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
73,saucony,A141 Sportswear & Athleticwear,,,,2:01,M,M,,https://www.saucony.com/en/home,9-Jan-20
2,rampage,A311 Womens Shoes & Boots,female,female,female,0:06,F,F,"name is a noun -> conflicting, plus only sell women's clothing",https://www.rampage.com/,18-Nov-19
9,blundstone,A311 Womens Shoes & Boots,neutral,neutral,neutral,3:03,F,F,,https://www.blundstone.com/,18-Nov-19
10,gucci,A311 Womens Shoes & Boots,neutral,neutral,female,5:06,F,F,,https://www.gucci.com/us/en/,18-Nov-19
11,skechers,A311 Womens Shoes & Boots,neutral,neutral,female,2:03,F,F,,https://www.skechers.com/en-us/,18-Nov-19
47,aldo,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.aldoshoes.com/ca/en,7-Jan-20
48,latigo,A311 Womens Shoes & Boots,,,,0:04,F,F,brand for females,http://www.latigoshoes.com/,8-Jan-20
49,crocs,A311 Womens Shoes & Boots,,,,1:06,F,F,,https://www.crocs.ca/,8-Jan-20
50,chaco,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.chacos.com/US/en/home,8-Jan-20
52,boden,A311 Womens Shoes & Boots,,,,1:05,F,F,,https://www.boden.co.uk/,8-Jan-20
53,balmain,A311 Womens Shoes & Boots,,,,3:09,F,F,,https://www.balmain.com/ca,8-Jan-20
54,bearpaw,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.bearpawshoes.ca/,9-Jan-20
55,tods,A311 Womens Shoes & Boots,,,,1:01,F,F,,https://www.tods.com/ww-en/home.html,9-Jan-20
56,birkenstock,A311 Womens Shoes & Boots,,,,1:00,F,M,"nav bar had women first, but second area had men before women",https://www.birkenstock.com/us,9-Jan-20
57,havaianas,A311 Womens Shoes & Boots,,,,2:02,F,F,,https://us.havaianas.com/,9-Jan-20
58,fitflop,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.fitflop.com/ca/en/,9-Jan-20
59,dior,A311 Womens Shoes & Boots,,,,9:10,F,F,,https://www.dior.com/en_int,9-Jan-20
60,naturalizer,A311 Womens Shoes & Boots,,,,0:01,F,F,brand for females,https://www.naturalizer.ca/,9-Jan-20
61,dansko,A311 Womens Shoes & Boots,,,,1:04,F,F,,https://www.dansko.com/,9-Jan-20
62,fuchsia,A311 Womens Shoes & Boots,,,,0:02,F,F,brand for females,https://fuchsiashoes.com/,9-Jan-20
63,chloe,A311 Womens Shoes & Boots,,,,0:07,F,F,brand for females,https://www.chloe.com/us,9-Jan-20
65,cougar,A311 Womens Shoes & Boots,,,,0:04,F,F,,https://www.cougarshoes.com/,9-Jan-20
67,keds,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.keds.com/en/home,9-Jan-20
68,clarks,A311 Womens Shoes & Boots,,,,1:02,F,F,,https://www.clarkscanada.com/,9-Jan-20
69,hermes,A311 Womens Shoes & Boots,,,,3:04,F,F,,https://www.hermes.com/us/en/,9-Jan-20
0,greats,A321 Sneakers,neutral,not female,neutral,1:00,M,M,"THROUGHOUT: did not count children, or same people that appeared twice in same picture/clothes. Only counted upper body and/or face, ignored just legs and below. If website had no pictures, ignored. Language inferred from branding in google search (men's brand, women's brand, etc.)",https://www.greats.com/,18-Nov-19
70,lalo,A321 Sneakers,,,,3:02,M,M,,https://lalo.com/,9-Jan-20
71,mephisto,A321 Sneakers,,,,1:02,F,F,,https://www.mephisto.com/,9-Jan-20
72,altra,A321 Sneakers,,,,0:03,F,F,,https://www.altrarunning.com/,9-Jan-20
74,vasque,A321 Sneakers,,,,1:00,M,M,,https://www.vasque.com/,9-Jan-20
75,merrell,A321 Sneakers,,,,1:07,F,F,,https://www.merrell.com/US/en/home,9-Jan-20
76,ellesse,A321 Sneakers,,,,5:06,M,F,,https://ellesse.com/uk/en,9-Jan-20
78,ryka,A321 Sneakers,,,,0:04,F,F,brand for females,https://www.ryka.com/,9-Jan-20
79,ecco,A321 Sneakers,,,,5:04,F,F,,https://ca.ecco.com/en,9-Jan-20
81,spartina,A411 Handbags,,,,0:09,,,,http://www.spartina449.com/,
82,mcm,A411 Handbags,,,,2:01,,,,https://us.mcmworldwide.com/en_US/home,
83,hobo,A411 Handbags,,,,0:03,,,,https://www.hobobags.com/,
84,frye,A411 Handbags,,,,1:02,,,,https://www.thefryecompany.com/,
85,mango,A411 Handbags,,,,1:13,,,,https://shop.mango.com/us,
86,brahmin,A411 Handbags,,,,0:03,,,,https://www.brahmin.com/home,
87,loewe,A411 Handbags,,,,3:05,,,,https://www.loewe.com/usa/en/home,
88,etro,A411 Handbags,,,,4:04,,,,https://www.etro.com/us-en/,
89,bandolier,A411 Handbags,,,,2:05,,,,https://www.bandolierstyle.com/,
90,longchamp,A411 Handbags,,,,0:09,,,,https://www.longchamp.com/us/en/,
91,fendi,A411 Handbags,,,,2:04,,,,https://www.fendi.com/us/,
92,moschino,A411 Handbags,,,,2:00,,,,https://www.moschino.com/us_en/moschino.html,
93,akris,A411 Handbags,,,,0:15,,,,https://us.akris.com/,
94,burberry,A411 Handbags,,,,11:11,,,,https://us.burberry.com/?locale=en_US,
95,samara,A411 Handbags,,,,0:05,,,,https://samarabags.com/,
96,lanvin,A411 Handbags,,,,4:05,,,,https://www.lanvin.com/us/,
97,givenchy,A411 Handbags,,,,1:02,,,,https://www.givenchy.com/us/en-US/homepage,
98,maxmara,A411 Handbags,,,,0:05,,,,https://us.maxmara.com/,
100,chanel,A411 Handbags,,,,0:07,,,,https://www.chanel.com/us/,
101,tiffany,A411 Handbags,,,,0:04,,,,https://www.tiffany.com/,
103,revo,A430 Sunglasses,,,,2:04,,,`,https://www.revo.com/,
