,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
2,adidas,A141 Sportswear & Athleticwear,0,0,0,1,0,0,3,0,2,0,6,1,1,0,1,0
16,alias,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,0,0,0,5,1,1,0,1,0
20,alpinestars,A141 Sportswear & Athleticwear,0,0,0,1,0,3,4,0,2,0,11,2,1,0,2,0
28,arcteryx,A141 Sportswear & Athleticwear,0,0,0,0,0,3,2,0,1,0,8,0,1,0,1,0
33,asics,A141 Sportswear & Athleticwear,0,0,0,1,0,0,2,0,0,0,5,2,1,0,1,0
35,assos,A141 Sportswear & Athleticwear,0,0,0,1,0,0,2,0,0,0,5,3,1,0,0,1
37,athleta,A141 Sportswear & Athleticwear,1,0,0,0,0,1,3,0,2,1,7,1,1,0,1,0
42,biink,A141 Sportswear & Athleticwear,0,1,0,0,0,1,2,1,2,0,5,0,0,0,2,0
43,billabong,A141 Sportswear & Athleticwear,0,1,1,0,0,3,3,1,3,0,9,0,0,0,1,1
52,boathouse,A141 Sportswear & Athleticwear,0,0,0,0,0,0,5,1,2,1,9,2,0,0,1,2
53,bogner,A141 Sportswear & Athleticwear,0,0,1,0,0,2,2,1,2,0,6,0,0,0,1,1
56,calia,A141 Sportswear & Athleticwear,1,0,0,0,0,1,3,0,0,1,5,0,0,0,1,0
63,compressport,A141 Sportswear & Athleticwear,0,1,0,0,0,3,3,0,3,0,12,2,0,0,1,2
65,converse,A141 Sportswear & Athleticwear,0,0,0,0,0,2,3,0,0,1,8,2,0,0,2,1
66,cortech,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,0,1,0,7,1,0,0,1,1
70,dainese,A141 Sportswear & Athleticwear,0,0,0,0,0,1,4,1,1,1,7,1,0,0,3,0
75,dicorpo,A141 Sportswear & Athleticwear,0,0,0,0,0,1,3,1,2,1,7,0,0,0,1,2
76,dirtbaggies,A141 Sportswear & Athleticwear,0,0,0,1,0,1,4,1,5,0,11,1,0,0,2,0
77,dkny,A141 Sportswear & Athleticwear,0,0,0,0,0,2,0,1,2,1,4,0,0,0,1,0
78,endura,A141 Sportswear & Athleticwear,1,0,0,0,0,2,3,0,1,1,6,0,1,0,1,1
82,fila,A141 Sportswear & Athleticwear,1,0,0,0,1,1,2,0,0,1,4,1,0,0,1,0
83,flagpole,A141 Sportswear & Athleticwear,0,0,0,0,1,2,3,0,2,1,8,1,0,0,1,1
99,garneau,A141 Sportswear & Athleticwear,0,0,0,0,0,2,4,1,1,1,7,0,0,0,1,1
101,gill,A141 Sportswear & Athleticwear,0,0,1,0,0,2,1,1,1,0,4,0,0,0,1,0
102,giordana,A141 Sportswear & Athleticwear,1,0,0,0,0,2,4,1,2,1,8,0,0,0,1,1
105,huk,A141 Sportswear & Athleticwear,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,1
107,hylete,A141 Sportswear & Athleticwear,0,0,0,0,0,2,2,0,1,1,6,0,0,0,2,0
109,intelliskin,A141 Sportswear & Athleticwear,0,0,1,0,0,4,4,0,2,0,11,1,1,0,4,0
112,isadore,A141 Sportswear & Athleticwear,0,0,0,0,0,1,4,0,1,1,7,1,1,0,2,1
116,kjus,A141 Sportswear & Athleticwear,0,0,0,1,0,0,1,1,1,0,4,2,0,0,0,1
117,ktm,A141 Sportswear & Athleticwear,0,0,1,0,0,1,0,1,2,0,3,0,0,0,0,0
118,laird,A141 Sportswear & Athleticwear,0,1,0,0,0,2,2,0,1,0,5,0,0,1,1,0
119,leatt,A141 Sportswear & Athleticwear,0,1,0,0,0,1,2,0,2,0,5,0,0,1,1,0
121,liftatics,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,0,2,0,9,2,0,1,2,0
122,liquido,A141 Sportswear & Athleticwear,0,0,0,0,0,1,4,0,1,1,7,0,0,1,2,2
128,lululemon,A141 Sportswear & Athleticwear,0,0,1,0,0,5,4,0,0,0,9,0,0,1,1,3
131,mavic,A141 Sportswear & Athleticwear,0,0,0,0,0,1,2,0,0,0,5,1,0,1,1,0
133,mika,A141 Sportswear & Athleticwear,1,0,0,0,0,1,2,0,1,1,4,0,0,1,1,0
134,mobius,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,0,1,0,6,1,0,1,1,2
135,mondor,A141 Sportswear & Athleticwear,0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,2
140,mudgear,A141 Sportswear & Athleticwear,0,0,1,0,0,2,3,0,2,0,7,0,0,1,1,1
147,nike,A141 Sportswear & Athleticwear,0,0,0,0,0,1,2,0,1,1,4,0,0,1,2,0
157,onzie,A141 Sportswear & Athleticwear,0,0,0,0,0,1,3,0,0,1,5,1,1,0,1,1
160,ornot,A141 Sportswear & Athleticwear,0,1,0,0,0,2,2,0,1,0,5,0,1,0,0,2
161,orsden,A141 Sportswear & Athleticwear,0,0,1,0,0,2,2,0,1,0,6,1,1,0,1,1
162,pactimo,A141 Sportswear & Athleticwear,0,0,0,0,0,1,3,1,2,1,7,0,0,0,1,1
171,proviz,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,1,1,0,6,2,0,0,1,1
173,puma,A141 Sportswear & Athleticwear,1,0,0,0,0,1,2,1,1,1,4,0,0,0,0,1
179,quiksilver,A141 Sportswear & Athleticwear,0,0,1,0,0,2,4,0,1,0,10,2,0,0,3,1
182,rapha,A141 Sportswear & Athleticwear,1,0,0,0,0,1,2,0,1,1,5,0,0,1,0,0
183,reebok,A141 Sportswear & Athleticwear,0,1,0,0,0,1,3,0,2,0,6,0,0,1,1,1
189,roka,A141 Sportswear & Athleticwear,1,0,0,0,0,1,2,0,1,1,4,0,0,1,0,1
191,roxy,A141 Sportswear & Athleticwear,0,0,0,0,0,2,1,0,0,1,4,0,0,1,1,1
194,ryderwear,A141 Sportswear & Athleticwear,0,0,1,0,0,5,3,0,1,0,9,0,0,1,2,0
196,saucony,A141 Sportswear & Athleticwear,0,0,0,0,1,2,3,0,0,1,7,1,0,0,1,2
198,scott,A141 Sportswear & Athleticwear,0,1,0,0,1,0,1,0,2,0,5,1,0,0,0,1
203,shimano,A141 Sportswear & Athleticwear,0,0,0,0,1,2,3,0,0,1,7,1,0,0,1,1
206,simpson,A141 Sportswear & Athleticwear,0,0,1,0,1,2,2,0,1,0,7,2,0,0,1,1
209,speedo,A141 Sportswear & Athleticwear,0,0,0,0,1,0,3,0,2,1,6,1,0,0,1,1
212,spidi,A141 Sportswear & Athleticwear,0,0,0,0,1,0,2,0,2,1,5,1,0,0,2,0
214,stio,A141 Sportswear & Athleticwear,0,0,0,0,1,0,2,0,1,1,4,1,0,0,1,1
215,sugoi,A141 Sportswear & Athleticwear,0,0,0,0,1,0,3,0,1,1,5,1,0,0,1,2
221,thor,A141 Sportswear & Athleticwear,0,0,1,0,1,1,1,1,1,0,4,1,0,0,0,1
245,vans,A141 Sportswear & Athleticwear,0,0,0,1,1,1,1,0,0,0,4,2,0,0,0,0
247,varsity,A141 Sportswear & Athleticwear,0,0,0,0,1,2,2,0,1,1,7,2,0,0,2,0
250,voler,A141 Sportswear & Athleticwear,0,0,1,0,1,2,2,0,0,0,5,1,0,0,1,1
251,vuori,A141 Sportswear & Athleticwear,0,0,0,0,1,1,3,0,0,1,5,1,0,0,1,2
253,zeeni,A141 Sportswear & Athleticwear,0,0,0,0,1,1,3,0,0,1,5,1,0,0,2,0
255,zoot,A141 Sportswear & Athleticwear,0,1,0,0,1,0,2,0,1,0,4,1,0,0,0,1
265,aftco,A141 Sportswear & Athleticwear,0,0,0,0,0,0,2,0,1,1,5,1,1,0,0,1
292,barbour,A141 Sportswear & Athleticwear,0,0,1,0,0,2,3,1,2,0,7,0,0,0,0,1
294,berrylook,A141 Sportswear & Athleticwear,0,1,0,0,0,4,3,1,2,0,9,0,0,0,1,1
305,blair,A141 Sportswear & Athleticwear,0,0,1,0,0,2,2,1,1,0,5,0,0,0,1,0
307,bluffworks,A141 Sportswear & Athleticwear,0,0,0,1,0,3,2,1,2,0,10,3,0,0,0,2
308,bonobos,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,1,2,0,7,1,0,0,0,3
317,bugatchi,A141 Sportswear & Athleticwear,0,0,0,0,0,0,3,1,3,1,8,1,0,0,1,1
321,caliber,A141 Sportswear & Athleticwear,0,0,1,0,0,2,3,0,1,0,7,0,0,0,2,0
322,callaway,A141 Sportswear & Athleticwear,0,0,0,0,0,4,3,0,0,1,8,0,0,0,1,0
324,carhartt,A141 Sportswear & Athleticwear,0,1,0,0,0,2,2,0,2,0,8,0,0,0,0,0
329,carters,A141 Sportswear & Athleticwear,0,0,0,1,0,2,2,0,1,0,7,1,0,0,1,0
332,chaps,A141 Sportswear & Athleticwear,0,0,0,1,1,0,1,0,1,0,5,2,0,0,0,0
333,chubbies,A141 Sportswear & Athleticwear,0,0,0,1,1,0,3,0,2,0,8,2,0,0,1,1
341,columbia,A141 Sportswear & Athleticwear,1,0,0,0,0,2,4,0,1,1,8,0,0,0,1,2
349,covers,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,0,0,0,6,2,0,0,1,1
351,criquet,A141 Sportswear & Athleticwear,0,1,0,0,0,1,3,0,1,0,7,0,0,0,2,1
352,cromwell,A141 Sportswear & Athleticwear,0,0,1,0,0,5,2,0,0,0,8,0,0,0,1,1
353,cubavera,A141 Sportswear & Athleticwear,1,0,0,0,0,1,4,0,1,1,8,1,0,0,1,1
354,customink,A141 Sportswear & Athleticwear,0,1,0,0,0,2,3,0,2,0,9,1,0,0,1,2
357,delta,A141 Sportswear & Athleticwear,1,0,0,0,0,1,2,1,2,1,5,0,0,0,1,0
359,dickies,A141 Sportswear & Athleticwear,0,0,0,1,0,0,3,1,2,0,7,1,0,0,2,0
364,dockers,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,1,2,0,7,1,0,0,1,1
367,dolfin,A141 Sportswear & Athleticwear,0,0,1,0,0,2,2,1,1,0,6,1,0,0,1,1
369,duer,A141 Sportswear & Athleticwear,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
387,filson,A141 Sportswear & Athleticwear,0,0,1,0,1,2,2,0,0,0,6,2,0,0,1,1
402,gabba,A141 Sportswear & Athleticwear,1,0,0,0,0,0,2,1,3,1,5,0,0,0,0,0
403,gamiss,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,1,1,0,6,2,0,0,1,0
410,garanimals,A141 Sportswear & Athleticwear,0,0,0,1,0,4,4,1,1,0,10,1,0,0,1,0
413,gillz,A141 Sportswear & Athleticwear,0,0,0,1,0,2,1,1,1,0,5,1,0,0,1,0
416,globus,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,1,2,0,6,1,0,0,0,2
417,goodthreads,A141 Sportswear & Athleticwear,0,0,0,1,0,1,4,1,4,0,11,2,0,0,1,1
418,gq,A141 Sportswear & Athleticwear,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
419,grayers,A141 Sportswear & Athleticwear,0,0,0,1,0,3,2,1,1,0,7,1,0,0,1,0
420,greenco,A141 Sportswear & Athleticwear,0,0,0,0,0,2,3,1,1,1,7,0,0,0,1,1
427,haggar,A141 Sportswear & Athleticwear,0,0,1,0,0,1,2,0,2,0,6,0,0,0,0,0
430,hanes,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,0,0,0,5,1,0,0,1,0
437,healincomfort,A141 Sportswear & Athleticwear,0,1,0,0,0,4,5,0,1,0,13,1,0,0,2,2
442,hincapie,A141 Sportswear & Athleticwear,0,0,0,0,0,1,4,0,1,1,8,0,0,0,2,0
444,hollister,A141 Sportswear & Athleticwear,0,0,1,0,0,3,3,0,1,0,9,1,0,0,2,1
454,izod,A141 Sportswear & Athleticwear,0,1,0,0,0,0,2,0,1,0,4,1,1,0,1,1
463,joamom,A141 Sportswear & Athleticwear,0,0,1,0,1,2,3,0,0,0,6,1,0,0,0,2
469,kelto,A141 Sportswear & Athleticwear,0,0,0,0,0,1,2,1,2,1,5,0,0,0,1,1
470,kerusso,A141 Sportswear & Athleticwear,0,0,0,0,0,1,3,1,1,1,7,2,0,0,1,2
471,kooples,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,1,2,0,7,1,0,0,1,1
472,lacoste,A141 Sportswear & Athleticwear,0,0,0,0,0,1,3,0,1,1,7,1,0,1,1,1
475,lapco,A141 Sportswear & Athleticwear,0,0,0,0,0,1,2,0,1,1,5,0,0,1,0,1
476,lawphrases,A141 Sportswear & Athleticwear,0,0,0,1,0,3,3,0,1,0,10,2,0,1,1,0
478,lee,A141 Sportswear & Athleticwear,0,0,0,0,0,1,2,0,0,1,3,0,0,1,1,0
479,levelwear,A141 Sportswear & Athleticwear,0,0,1,0,0,4,4,0,0,0,9,1,0,1,3,0
481,levis,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,0,0,0,5,2,0,1,2,0
501,milwaukee,A141 Sportswear & Athleticwear,0,0,0,0,0,3,5,0,1,1,9,0,0,1,2,1
504,mnml,A141 Sportswear & Athleticwear,0,0,1,0,0,4,0,0,0,0,4,0,0,1,0,0
513,munsingwear,A141 Sportswear & Athleticwear,0,0,1,0,0,5,4,0,1,0,11,1,0,1,2,1
515,nautica,A141 Sportswear & Athleticwear,1,0,0,0,0,1,4,0,1,1,7,0,0,1,1,1
519,nehera,A141 Sportswear & Athleticwear,1,0,0,0,0,2,3,0,0,1,6,0,0,1,2,0
538,odyssey,A141 Sportswear & Athleticwear,0,0,0,0,0,2,2,0,1,1,7,2,1,0,2,1
542,oodji,A141 Sportswear & Athleticwear,0,0,0,0,0,0,3,0,1,1,5,1,1,0,1,1
553,pandora,A141 Sportswear & Athleticwear,1,0,0,0,0,2,3,1,2,1,7,0,0,0,0,1
554,patagonia,A141 Sportswear & Athleticwear,1,0,0,0,0,1,5,1,3,1,9,0,0,0,1,1
571,poplin,A141 Sportswear & Athleticwear,0,0,1,0,0,2,2,1,2,0,6,0,0,0,1,1
572,prada,A141 Sportswear & Athleticwear,1,0,0,0,0,1,2,1,2,1,5,0,0,0,0,0
573,primease,A141 Sportswear & Athleticwear,0,0,0,0,0,2,4,1,1,1,8,1,0,0,3,0
584,rapala,A141 Sportswear & Athleticwear,1,0,0,0,0,2,3,0,1,1,6,0,0,1,0,0
589,ribbedtee,A141 Sportswear & Athleticwear,0,0,0,0,0,1,4,0,4,1,9,0,0,1,3,0
608,sandro,A141 Sportswear & Athleticwear,0,0,0,0,1,2,2,0,1,1,6,1,0,0,0,1
609,sefamerve,A141 Sportswear & Athleticwear,0,0,0,0,1,2,4,0,0,1,9,3,0,0,3,0
620,stantt,A141 Sportswear & Athleticwear,0,1,0,0,1,1,1,0,3,0,6,1,0,0,0,0
624,supermodels,A141 Sportswear & Athleticwear,0,0,0,1,1,3,4,0,2,0,11,2,0,0,2,2
625,tailorbyrd,A141 Sportswear & Athleticwear,0,1,0,0,0,4,3,1,3,0,10,0,0,0,1,1
627,threds,A141 Sportswear & Athleticwear,0,0,0,1,1,1,1,1,2,0,6,2,0,0,1,0
635,tucker,A141 Sportswear & Athleticwear,0,0,1,0,0,1,2,1,2,0,6,0,0,0,1,1
654,untuckit,A141 Sportswear & Athleticwear,0,1,0,0,0,1,3,0,3,0,8,0,1,0,1,2
658,valentino,A141 Sportswear & Athleticwear,0,0,0,0,1,3,4,0,1,1,9,1,0,0,2,1
660,venus,A141 Sportswear & Athleticwear,0,0,0,1,1,1,2,0,0,0,5,2,0,0,1,1
662,versace,A141 Sportswear & Athleticwear,0,0,0,0,1,1,3,0,0,1,7,2,0,0,2,0
663,vince,A141 Sportswear & Athleticwear,0,0,0,0,1,1,2,0,0,1,5,1,0,0,2,0
675,wrangler,A141 Sportswear & Athleticwear,0,0,1,0,0,5,2,0,1,0,8,0,0,1,1,0
678,yoins,A141 Sportswear & Athleticwear,0,0,0,1,0,2,2,0,0,0,5,1,0,1,1,1
682,zanella,A141 Sportswear & Athleticwear,1,0,0,0,1,3,3,0,0,1,7,1,0,0,1,0
683,zorrel,A141 Sportswear & Athleticwear,0,0,1,0,1,3,2,0,0,0,6,1,0,0,1,1
685,zubaz,A141 Sportswear & Athleticwear,0,0,0,1,1,0,2,0,1,0,5,2,0,0,0,1
700,aldo,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,0,1,1,4,0,1,0,0,1
701,alegria,A311 Womens Shoes & Boots,1,0,0,0,0,2,4,0,1,1,7,0,1,0,2,0
704,allbirds,A311 Womens Shoes & Boots,0,0,0,1,0,3,2,0,2,0,8,1,1,0,1,0
705,amalfi,A311 Womens Shoes & Boots,0,0,0,0,0,2,3,0,0,1,6,1,1,0,1,0
706,andrea,A311 Womens Shoes & Boots,1,0,0,0,0,2,3,0,1,1,6,0,1,0,1,0
709,aquatalia,A311 Womens Shoes & Boots,1,0,0,0,0,1,6,0,1,1,9,0,1,0,1,1
711,ara,A311 Womens Shoes & Boots,1,0,0,0,0,1,2,0,0,1,3,0,1,0,0,0
713,arche,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,0,0,1,5,1,1,0,1,0
718,balenciaga,A311 Womens Shoes & Boots,1,0,0,0,0,2,5,1,2,1,10,0,0,0,2,0
719,bally,A311 Womens Shoes & Boots,0,0,0,0,0,3,1,1,1,1,5,0,0,0,1,0
722,balmain,A311 Womens Shoes & Boots,0,0,1,0,0,3,3,1,1,0,7,0,0,0,1,0
727,bearpaw,A311 Womens Shoes & Boots,0,0,0,0,0,2,3,1,2,0,7,0,0,0,1,0
732,bernardo,A311 Womens Shoes & Boots,0,0,0,0,0,3,3,1,2,1,8,0,0,0,1,1
735,berrylook,A311 Womens Shoes & Boots,0,1,0,0,0,4,3,1,2,0,9,0,0,0,1,1
736,birkenstock,A311 Womens Shoes & Boots,0,1,0,0,0,2,3,1,4,0,11,1,0,0,2,1
738,blundstone,A311 Womens Shoes & Boots,0,0,0,0,0,3,3,1,3,1,10,1,0,0,1,2
740,boden,A311 Womens Shoes & Boots,0,0,1,0,0,1,2,1,2,0,5,0,0,0,1,1
746,chaco,A311 Womens Shoes & Boots,0,0,0,0,1,0,2,0,0,1,5,1,0,0,0,1
751,chellysun,A311 Womens Shoes & Boots,0,0,1,0,1,4,2,0,0,0,9,2,0,0,1,1
752,chloe,A311 Womens Shoes & Boots,0,0,0,0,1,1,2,0,0,1,5,1,0,0,1,1
753,clarks,A311 Womens Shoes & Boots,0,0,0,1,0,2,1,0,1,0,6,1,0,0,0,0
762,coolway,A311 Womens Shoes & Boots,0,0,0,0,0,3,3,0,0,1,7,0,0,0,1,1
763,cougar,A311 Womens Shoes & Boots,0,0,1,0,0,1,3,0,1,0,6,0,0,0,0,1
764,crocs,A311 Womens Shoes & Boots,0,0,0,1,0,1,1,0,0,0,5,1,0,0,0,1
775,dansko,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,1,2,1,6,1,0,0,0,1
778,dior,A311 Womens Shoes & Boots,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
781,feelgoodz,A311 Womens Shoes & Boots,0,0,0,1,1,1,4,0,2,0,9,2,0,0,1,1
783,fitflop,A311 Womens Shoes & Boots,0,1,0,0,1,1,2,0,2,0,7,2,0,0,1,1
792,fuchsia,A311 Womens Shoes & Boots,1,0,0,0,1,0,3,0,0,1,7,3,0,0,1,1
799,gucci,A311 Womens Shoes & Boots,0,0,0,0,0,0,2,1,1,1,5,0,0,0,1,1
801,gurus,A311 Womens Shoes & Boots,0,0,0,1,0,1,2,1,1,0,5,1,0,0,0,2
804,havaianas,A311 Womens Shoes & Boots,0,0,0,1,0,1,5,0,0,0,9,2,0,0,1,0
805,hermes,A311 Womens Shoes & Boots,0,0,0,1,0,2,2,0,0,0,6,1,0,0,2,0
808,impo,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,0,1,1,4,0,1,0,1,1
809,jambu,A311 Womens Shoes & Boots,0,0,0,0,1,1,2,0,1,1,5,1,0,0,0,1
822,keds,A311 Womens Shoes & Boots,0,0,0,1,0,0,1,1,2,0,4,1,0,0,1,0
824,khombu,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,1,2,1,6,0,0,0,0,2
827,kyboot,A311 Womens Shoes & Boots,0,1,0,0,0,1,2,1,3,0,6,0,0,0,0,1
828,latigo,A311 Womens Shoes & Boots,0,0,0,0,0,1,3,0,2,1,6,0,0,1,1,1
834,lucchese,A311 Womens Shoes & Boots,0,0,0,0,0,1,3,0,0,1,8,2,0,1,2,1
837,mara,A311 Womens Shoes & Boots,1,0,0,0,0,2,2,0,0,1,4,0,0,1,0,0
839,melissa,A311 Womens Shoes & Boots,1,0,0,0,0,2,3,0,0,1,7,2,0,1,2,0
848,naturalizer,A311 Womens Shoes & Boots,0,0,1,0,0,4,5,0,1,0,11,1,0,1,2,1
852,nina,A311 Womens Shoes & Boots,1,0,0,0,0,2,2,0,0,1,4,0,0,1,1,0
854,nisolo,A311 Womens Shoes & Boots,0,0,0,0,0,2,3,0,0,1,6,1,0,1,1,2
856,novus,A311 Womens Shoes & Boots,0,0,0,1,0,1,2,0,0,0,5,2,0,1,0,2
859,olukai,A311 Womens Shoes & Boots,0,0,0,0,0,1,4,0,1,1,6,0,1,0,1,2
862,pikolinos,A311 Womens Shoes & Boots,0,0,0,1,0,2,4,1,2,0,9,1,0,0,2,2
863,prada,A311 Womens Shoes & Boots,1,0,0,0,0,1,2,1,2,1,5,0,0,0,0,0
864,privo,A311 Womens Shoes & Boots,0,0,0,0,0,1,2,1,1,1,5,1,0,0,1,1
868,rampage,A311 Womens Shoes & Boots,0,0,0,0,0,2,3,0,2,1,7,0,0,1,1,0
881,skechers,A311 Womens Shoes & Boots,0,0,0,1,1,1,2,0,1,0,8,3,0,0,2,0
885,socofy,A311 Womens Shoes & Boots,0,0,0,0,1,1,2,0,0,1,6,2,0,0,1,2
886,soda,A311 Womens Shoes & Boots,1,0,0,0,1,0,2,0,1,1,4,1,0,0,0,1
887,sorel,A311 Womens Shoes & Boots,0,0,1,0,1,2,2,0,0,0,5,1,0,0,1,1
890,sporto,A311 Womens Shoes & Boots,0,0,0,0,1,1,2,0,2,1,6,1,0,0,0,2
898,superfeet,A311 Womens Shoes & Boots,0,1,0,0,1,1,4,0,2,0,9,2,0,0,2,1
900,tecovas,A311 Womens Shoes & Boots,0,0,0,1,0,0,3,1,1,0,7,2,0,0,1,1
901,testoni,A311 Womens Shoes & Boots,0,0,0,0,0,1,3,1,2,1,7,1,0,0,2,1
904,tods,A311 Womens Shoes & Boots,0,0,0,1,0,0,1,1,2,0,4,1,0,0,0,1
908,troentorp,A311 Womens Shoes & Boots,0,1,0,0,0,3,3,1,3,0,9,0,0,0,1,2
909,twigy,A311 Womens Shoes & Boots,0,0,0,0,0,2,1,1,2,1,5,0,0,0,2,0
916,valentino,A311 Womens Shoes & Boots,0,0,0,0,1,3,4,0,1,1,9,1,0,0,2,1
923,vionic,A311 Womens Shoes & Boots,0,0,0,0,1,1,3,0,0,0,6,1,0,0,2,1
935,adidas,A321 Sneakers,0,0,0,1,0,0,3,0,2,0,6,1,1,0,1,0
969,altra,A321 Sneakers,1,0,0,0,0,2,2,0,1,1,5,0,1,0,0,0
974,asics,A321 Sneakers,0,0,0,1,0,0,2,0,0,0,5,2,1,0,1,0
987,bally,A321 Sneakers,0,0,0,0,0,3,1,1,1,1,5,0,0,0,1,0
991,bata,A321 Sneakers,1,0,0,0,0,0,2,1,2,1,4,0,0,0,0,0
994,brooks,A321 Sneakers,0,0,0,1,0,1,2,1,2,0,6,1,0,0,0,1
1004,columbia,A321 Sneakers,1,0,0,0,0,2,4,0,1,1,8,0,0,0,1,2
1007,converse,A321 Sneakers,0,0,0,0,0,2,3,0,0,1,8,2,0,0,2,1
1018,crocs,A321 Sneakers,0,0,0,1,0,1,1,0,0,0,5,1,0,0,0,1
1022,ecco,A321 Sneakers,0,0,0,0,0,0,2,0,0,1,4,0,1,0,1,1
1023,ellesse,A321 Sneakers,0,0,0,0,0,2,3,0,0,1,7,2,1,0,3,0
1025,enko,A321 Sneakers,0,0,0,0,0,1,2,0,1,1,4,0,1,0,1,1
1026,fila,A321 Sneakers,1,0,0,0,1,1,2,0,0,1,4,1,0,0,1,0
1032,greats,A321 Sneakers,0,0,0,1,0,1,2,1,2,0,6,1,0,0,1,0
1042,keds,A321 Sneakers,0,0,0,1,0,0,1,1,2,0,4,1,0,0,1,0
1047,kuru,A321 Sneakers,0,0,0,0,0,1,2,1,1,1,4,0,0,0,0,2
1051,lacoste,A321 Sneakers,0,0,0,0,0,1,3,0,1,1,7,1,0,1,1,1
1053,lalo,A321 Sneakers,0,0,0,0,0,2,2,0,0,1,4,0,0,1,0,1
1056,mephisto,A321 Sneakers,0,0,0,0,0,1,3,0,2,1,8,1,0,1,2,1
1057,merrell,A321 Sneakers,0,0,1,0,0,5,2,0,0,0,7,0,0,1,2,0
1061,montrail,A321 Sneakers,0,0,1,0,0,4,3,0,1,0,8,0,0,1,1,1
1062,naturalizer,A321 Sneakers,0,0,1,0,0,4,5,0,1,0,11,1,0,1,2,1
1063,nehera,A321 Sneakers,1,0,0,0,0,2,3,0,0,1,6,0,0,1,2,0
1084,nfinity,A321 Sneakers,0,0,0,0,0,3,2,0,1,1,7,1,0,1,3,0
1085,nike,A321 Sneakers,0,0,0,0,0,1,2,0,1,1,4,0,0,1,2,0
1138,nobull,A321 Sneakers,0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,2
1140,oboz,A321 Sneakers,0,0,0,1,0,0,2,0,1,0,4,1,1,0,0,2
1152,oofos,A321 Sneakers,0,0,0,1,0,0,3,0,0,0,5,2,1,0,0,2
1164,puma,A321 Sneakers,1,0,0,0,0,1,2,1,1,1,4,0,0,0,0,1
1191,reebok,A321 Sneakers,0,1,0,0,0,1,3,0,2,0,6,0,0,1,1,1
1208,rockport,A321 Sneakers,0,1,0,0,0,2,2,0,3,0,8,0,0,1,0,2
1211,ryka,A321 Sneakers,1,0,0,0,0,2,1,0,1,1,4,0,0,1,0,0
1213,saucony,A321 Sneakers,0,0,0,0,1,2,3,0,0,1,7,1,0,0,1,2
1221,skechers,A321 Sneakers,0,0,0,1,1,1,2,0,1,0,8,3,0,0,2,0
1251,skicks,A321 Sneakers,0,0,0,1,1,0,1,0,2,0,6,2,0,0,1,0
1253,sperry,A321 Sneakers,0,0,0,0,1,3,1,0,1,1,6,1,0,0,2,0
1258,sporto,A321 Sneakers,0,0,0,0,1,1,2,0,2,1,6,1,0,0,0,2
1260,supra,A321 Sneakers,1,0,0,0,1,1,2,0,1,1,5,1,0,0,0,1
1288,vans,A321 Sneakers,0,0,0,1,1,1,1,0,0,0,4,2,0,0,0,0
1295,vasque,A321 Sneakers,0,0,0,0,1,0,3,0,0,1,6,2,0,0,1,1
1299,vionic,A321 Sneakers,0,0,0,0,1,1,3,0,0,0,6,1,0,0,2,1
1305,akris,A411 Handbags,0,0,0,1,0,1,2,0,1,0,5,1,1,0,1,0
1311,balenciaga,A411 Handbags,1,0,0,0,0,2,5,1,2,1,10,0,0,0,2,0
1313,bally,A411 Handbags,0,0,0,0,0,3,1,1,1,1,5,0,0,0,1,0
1316,balmain,A411 Handbags,0,0,1,0,0,3,3,1,1,0,7,0,0,0,1,0
