Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
chaco,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.chacos.com/US/en/home,8-Jan-20
olukai,A311 Womens Shoes & Boots,,,,5:03,M,M,,https://olukai.ca/,8-Jan-20
boden,A311 Womens Shoes & Boots,,,,1:05,F,F,,https://www.boden.co.uk/,8-Jan-20
balmain,A311 Womens Shoes & Boots,,,,3:09,F,F,,https://www.balmain.com/ca,8-Jan-20
bearpaw,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.bearpawshoes.ca/,9-Jan-20
tods,A311 Womens Shoes & Boots,,,,1:01,F,F,,https://www.tods.com/ww-en/home.html,9-Jan-20
birkenstock,A311 Womens Shoes & Boots,,,,1:00,F,M,"nav bar had women first, but second area had men before women",https://www.birkenstock.com/us,9-Jan-20
havaianas,A311 Womens Shoes & Boots,,,,2:02,F,F,,https://us.havaianas.com/,9-Jan-20
fitflop,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.fitflop.com/ca/en/,9-Jan-20
dior,A311 Womens Shoes & Boots,,,,9:10,F,F,,https://www.dior.com/en_int,9-Jan-20
naturalizer,A311 Womens Shoes & Boots,,,,0:01,F,F,brand for females,https://www.naturalizer.ca/,9-Jan-20
dansko,A311 Womens Shoes & Boots,,,,1:04,F,F,,https://www.dansko.com/,9-Jan-20
fuchsia,A311 Womens Shoes & Boots,,,,0:02,F,F,brand for females,https://fuchsiashoes.com/,9-Jan-20
chloe,A311 Womens Shoes & Boots,,,,0:07,F,F,brand for females,https://www.chloe.com/us,9-Jan-20
nike,A141 Sportswear & Athleticwear,,,,2:04,M,M,,https://www.nike.com/us,9-Jan-20
cougar,A311 Womens Shoes & Boots,,,,0:04,F,F,,https://www.cougarshoes.com/,9-Jan-20
levis,A141 Sportswear & Athleticwear,,,,7:06,M,M,admittedly some gender ambiguous people,https://www.levi.com/US/en_US/,9-Jan-20
keds,A311 Womens Shoes & Boots,,,,0:01,F,F,,https://www.keds.com/en/home,9-Jan-20
clarks,A311 Womens Shoes & Boots,,,,1:02,F,F,,https://www.clarkscanada.com/,9-Jan-20
hermes,A311 Womens Shoes & Boots,,,,3:04,F,F,,https://www.hermes.com/us/en/,9-Jan-20
lalo,A321 Sneakers,,,,3:02,M,M,,https://lalo.com/,9-Jan-20
mephisto,A321 Sneakers,,,,1:02,F,F,,https://www.mephisto.com/,9-Jan-20
altra,A321 Sneakers,,,,0:03,F,F,,https://www.altrarunning.com/,9-Jan-20
saucony,A141 Sportswear & Athleticwear,,,,2:01,M,M,,https://www.saucony.com/en/home,9-Jan-20
vasque,A321 Sneakers,,,,1:00,M,M,,https://www.vasque.com/,9-Jan-20
merrell,A321 Sneakers,,,,1:07,F,F,,https://www.merrell.com/US/en/home,9-Jan-20
ellesse,A321 Sneakers,,,,5:06,M,F,,https://ellesse.com/uk/en,9-Jan-20
nfinity,A321 Sneakers,,,,0:07,F,F,,https://www.nfinity.com/,9-Jan-20
ryka,A321 Sneakers,,,,0:04,F,F,brand for females,https://www.ryka.com/,9-Jan-20
ecco,A321 Sneakers,,,,5:04,F,F,,https://ca.ecco.com/en,9-Jan-20
cenzo,A411 Handbags,,,,2:00,,,,https://cenzobags.com/,
spartina,A411 Handbags,,,,0:09,,,,http://www.spartina449.com/,
mcm,A411 Handbags,,,,2:01,,,,https://us.mcmworldwide.com/en_US/home,
hobo,A411 Handbags,,,,0:03,,,,https://www.hobobags.com/,
frye,A411 Handbags,,,,1:02,,,,https://www.thefryecompany.com/,
mango,A411 Handbags,,,,1:13,,,,https://shop.mango.com/us,
brahmin,A411 Handbags,,,,0:03,,,,https://www.brahmin.com/home,
loewe,A411 Handbags,,,,3:05,,,,https://www.loewe.com/usa/en/home,
etro,A411 Handbags,,,,4:04,,,,https://www.etro.com/us-en/,
bandolier,A411 Handbags,,,,2:05,,,,https://www.bandolierstyle.com/,
longchamp,A411 Handbags,,,,0:09,,,,https://www.longchamp.com/us/en/,
fendi,A411 Handbags,,,,2:04,,,,https://www.fendi.com/us/,
moschino,A411 Handbags,,,,2:00,,,,https://www.moschino.com/us_en/moschino.html,
akris,A411 Handbags,,,,0:15,,,,https://us.akris.com/,
burberry,A411 Handbags,,,,11:11,,,,https://us.burberry.com/?locale=en_US,
samara,A411 Handbags,,,,0:05,,,,https://samarabags.com/,
lanvin,A411 Handbags,,,,4:05,,,,https://www.lanvin.com/us/,
givenchy,A411 Handbags,,,,1:02,,,,https://www.givenchy.com/us/en-US/homepage,
maxmara,A411 Handbags,,,,0:05,,,,https://us.maxmara.com/,
botkier,A411 Handbags,,,,0:01,,,,https://www.botkier.com/,
chanel,A411 Handbags,,,,0:07,,,,https://www.chanel.com/us/,
tiffany,A411 Handbags,,,,0:04,,,,https://www.tiffany.com/,
shadetree,A430 Sunglasses,,,,2:01,,,,https://shadetreeglasses.com/,
