,Unnamed: 0,brand,alignment,Word2Vec_alignment,Word2Vec_resid_alignment,Wikipedia_alignment,Wikipedia_resid_alignment,Glove_alignment,Glove_resid_alignment
1220,662.0,glossier,0.11359226849779094,0.11359226278531523,0.01501340374702424,-0.03883012684662435,0.10398370183546422,0.0666042945581038,-0.08442213149506103
1221,1008.0,dutchess,0.11384091525654022,0.11384090953156026,0.12144626388393345,-0.006545859720530869,0.15872603064420998,0.11364953758799082,0.12107560406017503
1222,71.0,duer,0.11395326020473888,0.1139532544741092,0.03868318819925593,-0.22092798768018507,-0.16276761155439556,0.022519863872229137,-0.007614657862754795
1223,893.0,dole,0.11413926581556202,0.11413926007557817,0.0667877446421785,-0.1590797565981261,-0.06640636738090282,-0.01053587283606543,-0.05587763892517318
1224,66.0,customink,0.1142510240452657,0.11425101829966161,-0.008332337882666095,-0.11749525485551912,0.010836857202479486,-0.02652562128015682,-0.045090479935611286
1225,1273.0,downtown,0.11425275820236012,0.11425275245666887,-0.045038972368283865,-0.06880024919237106,0.03491420767280465,0.034049479049133996,-0.09430045728333064
1226,838.0,mclaughlin,0.11484475719526405,0.11484475141980159,-0.027829899534267327,-0.213359776336904,-0.015721565020073804,-0.0012623934259756754,-0.09270598802043745
1227,544.0,quantcast,0.1149728379176019,0.11497283213569832,0.08242028816523625,-0.08861262320449745,0.008915708734340576,-0.007119774928913053,0.027239861541822785
1228,944.0,ovaltine,0.11532953133503815,0.11532952553519671,0.022369180705875458,-0.03220097577707946,0.06718331847489513,0.03558131188915831,-0.05353401145951615
1229,1249.0,ortho,0.11546135641014725,0.11546135060367643,0.10613613019045305,-0.0762735819759772,0.04669259743657263,0.027978290719539094,0.019253319704122522
1230,1227.0,beautyrest,0.11560061891723443,0.11560061310376016,0.11976329680478179,-0.0437246355121933,0.1579297906428686,0.06943013404111732,0.06384716446594792
1231,1232.0,eclipse,0.1159010221048479,0.11590101627626656,0.10676603866180824,-0.08546623373823999,0.06942125548720898,0.03683934951722728,0.023381690561478805
1232,985.0,rainier,0.11607603389246893,0.11607602805508639,0.12399371694111075,-0.1372381238551688,0.07928821357819821,0.06429066048163656,0.09023215717033332
1233,1072.0,ihop,0.11648250347283885,0.11648249761501525,0.051997906299350236,-0.037098867522951495,0.021440004908184575,0.011128254641335218,-0.027706718358011168
1234,1321.0,fiora,0.116736522360102,0.11673651648950398,0.0259649597385121,-0.0697450472743704,0.020530496550434672,0.05344789265567344,0.014599264305040964
1235,201.0,ess,0.11685937049177215,0.11685936461499619,0.0653025746085848,-0.06949830075225606,-0.007048650380163833,0.022173458515359797,-0.017039670489022826
1236,606.0,elance,0.1170397313608317,0.11703972547498548,0.07258587070398564,-0.0938981082486531,-0.024643520371728265,-0.01962197693289714,-0.02638903531136104
1238,951.0,babybel,0.1172412811192487,0.11724127522326666,0.028503169418380027,-0.026713685354540672,0.1472773728215778,-0.0027859053401690457,-0.018610813574446508
1239,422.0,naacp,0.11793563061332694,0.11793562468242653,0.11154048320574911,-0.03292822549587725,0.013778748576224074,-0.02690766594211669,-0.02170075579284867
1240,859.0,coolhaus,0.1182437327085062,0.11824372676211159,0.032702906492534656,-0.15745627427637937,0.044027301702866825,0.03174860383922026,-0.01179040710492782
1242,318.0,keybank,0.1188045796694221,0.11880457369482286,0.10348649797385917,-0.0877933043592742,0.00594113194855217,0.024122773634651935,0.0411497346010804
1243,283.0,tiaa,0.11900939777512655,0.11900939179022718,0.054101714745439636,-0.024220301686856044,0.06722959650141064,0.0950913619611534,0.09470222668712491
1244,1462.0,priv,0.11958344296696505,0.11958343695319731,-0.1092376896977919,-0.07745163793407367,0.005179302453272749,-0.020401927271515165,-0.13462012970220158
1245,1038.0,basler,0.12020222068674355,0.12020221464185796,0.06820761675366402,-0.23438324669006735,-0.10475289878379132,-0.021393509101828582,-0.030429258504682692
1246,747.0,essentials,0.12032604305035074,0.12032603699923825,0.026295819996286687,-0.09460868910239077,-0.05859295109769981,0.05583405109381542,-0.03327672130592085
1248,1242.0,lucid,0.12185980117121036,0.12185979504296625,0.10151573892775703,-0.03868253002303601,0.07832332334223528,0.04642812409766556,0.030071647207976296
1249,1245.0,luxi,0.12258690973576104,0.12258690357095113,0.08716743794158217,-0.11681547957733938,0.03615245840468429,0.13558160715062212,0.09896284507805564
1250,133.0,hermes,0.1227348101969378,0.12273480402469006,0.013014262335797068,-0.1575604516463285,-0.048819480014347674,0.02152498587916312,-0.14656399720547097
1251,564.0,fellowes,0.12292030625376107,0.12292030007218485,0.056756571983915274,-0.15037002177185488,-0.02329595549860252,0.022801802544728862,-0.015555886783477389
1253,1212.0,pfaltzgraff,0.1230911092342134,0.12309110304404763,-0.03095381580876114,-0.14818020997371548,-0.02700901338109797,0.05488753371851689,-0.006670431226235993
1254,674.0,colors,0.12318106515212787,0.12318105895743829,0.0010761034379720529,-0.0980516388882591,0.008237569095765614,0.07947595932167555,0.02177130753062248
1255,914.0,goldfish,0.1232712297968564,0.1232712235976325,0.013608402551890882,-0.08788835258484073,-0.033357849247410726,0.02895047496628262,-0.08190827936654131
1257,1226.0,bassett,0.12395561336070055,0.12395560712705948,0.10094754943511541,-0.14627578209260939,0.02463820995827581,0.08547212244429292,0.0559911556492971
1258,905.0,nabisco,0.1248515079725194,0.1248515016938244,0.029967544000069773,0.009762488472463993,0.055032624446832934,0.010999583550426366,-0.091697316022728
1259,718.0,luna,0.12522521911699086,0.12522521281950222,0.001848273778995612,-0.06181873837604854,-0.04644469061276152,0.22350944648304835,0.06922960316763492
1260,1206.0,mottahedeh,0.12564327842581066,0.1256432721072981,-0.1274864125571302,-0.19106140865067517,-0.057974242702349035,-0.026094709499376683,-0.07531521188352955
1262,1294.0,electrolux,0.12595760972117193,0.12595760338685186,0.07592954335633473,-0.09247234399243874,0.032743988938939664,0.028180507083225243,-0.02298511803682213
1263,858.0,breyers,0.12613750421974926,0.1261374978763824,0.09665319790605145,-0.1461538114968816,0.0181570245071689,0.07333368408032925,0.02766184576876454
1264,153.0,tods,0.12646129106386692,0.12646128470421708,-0.02830271606285272,-0.13520388620682391,-0.040230731104095994,-0.011012819275632663,-0.157124840269966
1265,1238.0,hyphen,0.1264623853878719,0.126462379028167,0.10624436815031707,-0.09001825672775549,0.06330396803164617,0.053436986309109424,0.03448844615980755
