,Unnamed: 0,brand,alignment,Word2Vec_alignment,Word2Vec_resid_alignment
0,333,everbank,-0.17473946698548148,-0.1747394581979559,-0.16614456943394135
1,159,greats,-0.1564899573385945,-0.15648994946882394,-0.10979991791033165
2,1064,brothers,-0.1424514455054443,-0.1424514383416608,-0.08427069595092007
3,1365,liftmaster,-0.12638196194371906,-0.12638195558805856,-0.195938501583902
4,1011,harpoon,-0.12425969235582945,-0.1242596861068964,-0.08915088046285538
5,1112,johnson,-0.1216495590362144,-0.12164955291854318,0.004802433415510281
6,1097,booyah,-0.1208331010025596,-0.12083309492594749,-0.04618333915855937
7,146,rampage,-0.12010300097415676,-0.12010299493426088,-0.18416666278358013
8,35,reebok,-0.11815865388877154,-0.11815864794665554,-0.1980964552658868
9,349,esp,-0.1130207183957247,-0.11302071271199185,-0.10107765085170474
10,1424,jayco,-0.1088147405799182,-0.10881473510770101,-0.12191537254678511
11,1398,cobra,-0.10740265058831712,-0.10740264518711297,-0.15180116328824053
12,1104,daiwa,-0.10653876598562537,-0.10653876062786541,-0.039156880622305455
13,1342,bosch,-0.1059515654238335,-0.10595156009560341,-0.1514945982476043
14,505,awin,-0.10570157206194801,-0.10570156674628994,-0.1276105072231231
15,982,landshark,-0.1009289714107133,-0.10092896633506596,-0.034013704984703935
16,31,nike,-0.0997718321995113,-0.09977182718205564,-0.17139815007492326
17,589,jbm,-0.09941712691305356,-0.0994171219134358,-0.14428615436724018
18,1117,mustad,-0.09940628492552853,-0.09940627992645601,0.008098681257633022
19,528,marco,-0.0972972743143686,-0.09729726942135672,-0.1371625656077161
20,40,shimano,-0.09709143981024172,-0.09709143492758113,-0.13435105024276855
21,138,lucchese,-0.09649913386804046,-0.09649912901516655,-0.1596195946666646
22,18,gill,-0.09499989384993753,-0.09499988907245932,-0.11830576597985984
23,499,wwe,-0.0911888561151609,-0.09118885152933713,-0.09568973540753795
24,267,pimco,-0.09043983729165088,-0.09043983274349468,-0.08234730038643832
25,1459,vistajet,-0.09039774177705204,-0.09039773723101285,-0.08008827750529421
26,260,invesco,-0.08847369691779124,-0.08847369246851086,-0.07535457902012885
27,1352,emed,-0.08789661102010406,-0.08789660659984501,-0.1599659412421306
28,297,commsec,-0.08550789693708864,-0.08550789263695635,-0.07163121563409675
29,604,dav,-0.08516738789854808,-0.08516738361553974,-0.12024983137475556
30,1467,mauisails,-0.08312243114503748,-0.0831224269648685,-0.09720328439964016
31,870,magnum,-0.08155593185149995,-0.0815559277501092,-0.11553556485841915
32,534,multiview,-0.08108804226864344,-0.08108803819078247,-0.12502224391931427
33,317,jefferies,-0.08055890422192137,-0.08055890017067047,-0.06500190232443825
34,613,saic,-0.08029476601019843,-0.08029476197223082,-0.1243891148314861
35,332,uif,-0.08026567270303242,-0.08026566866652796,-0.06923738578013014
36,340,panchos,-0.07989067426800465,-0.07989067025035856,-0.03653817375212484
37,27,mavic,-0.0792930937219664,-0.0792930897343722,-0.11654277494718936
38,157,ecco,-0.07832992321570467,-0.07832991927654762,-0.05509651890626362
39,1422,featherlite,-0.0781710189010129,-0.07817101496984705,-0.09103482658100796
40,249,bloomberg,-0.07670386875274257,-0.07670386489535869,-0.059934552058345886
41,25,leatt,-0.07657451903434527,-0.0765745151834663,-0.1208022689716232
42,1012,hatuey,-0.07623468539263606,-0.0762346815588471,-0.006493014421640117
43,0,adidas,-0.07610346289998511,-0.07610345907279517,-0.1584984213863132
44,1311,ryobi,-0.07552298339069531,-0.0755229795926973,-0.08878455367277324
45,1464,microgame,-0.0749472850460729,-0.07494728127702638,-0.09559315728533081
46,97,sandro,-0.07448778315132852,-0.07448777940539006,-0.10815816475901444
47,39,scott,-0.07447701326235595,-0.07447700951695904,-0.10387514658520959
48,978,heineken,-0.07401751406169088,-0.07401751033940186,-0.03626407284133848
49,728,alen,-0.07357992787343126,-0.07357992417314817,-0.0652811648075936
50,275,allianz,-0.07354809963596542,-0.073548095937283,-0.05817829554881213
51,551,synacor,-0.07340269909067937,-0.07340269539930899,-0.1256848472299522
52,169,supra,-0.07334504713686099,-0.07334504344838987,-0.04614942655977171
53,991,steinlager,-0.07317500481708625,-0.07317500113716646,-0.035861129523365426
54,487,laff,-0.07234672597311781,-0.07234672233485157,-0.08489889350444146
55,1305,acdelco,-0.07228013542616307,-0.07228013179124561,-0.08261343192779708
56,350,ifs,-0.07207118178573653,-0.07207117816132722,-0.05485346395984111
57,61,chubbies,-0.07142346255779312,-0.07142345896595713,-0.11250076075051194
58,29,mobius,-0.07086436007107272,-0.07086435650735362,-0.09888639107054403
59,469,zoom,-0.07081665190609683,-0.07081664834477695,-0.10370739155288772
60,847,skinner,-0.07057688668777551,-0.07057688313851325,-0.07318811030189999
61,465,nexcess,-0.07038243626680186,-0.07038243272731837,-0.13404750115761804
62,917,mariner,-0.06962588116228571,-0.06962587766084888,-0.09791423980908903
63,1143,smith,-0.06950902762332198,-0.06950902412776161,-0.13128763619392497
64,1405,toc,-0.06946701506050458,-0.06946701156705695,-0.12372106822637628
65,562,excalibur,-0.06918861583558314,-0.06918861235613608,-0.12444828837169886
66,1228,bestar,-0.06909800743662596,-0.06909800396173552,-0.1445454697009181
67,1107,frabill,-0.06877180116699144,-0.06877179770850568,0.018713284495106494
68,177,cenzo,-0.06805799691484085,-0.06805799349225182,-0.23841270452596786
69,790,scitec,-0.06713586969660656,-0.06713586632039062,-0.04838912742026891
70,1019,gambrinus,-0.06711220551506744,-0.06711220214004156,-0.02719436359444346
71,131,gurus,-0.06708293363376698,-0.0670829302602132,-0.13289009901819723
72,1164,rawlings,-0.06689211892090083,-0.066892115556943,0.052881119922899227
73,1037,furbo,-0.06684860321558456,-0.06684859985381511,-0.05091925830376551
74,1421,dutchmen,-0.0660531534599563,-0.0660531501381894,-0.07371330685817318
75,814,san,-0.06585505112872223,-0.06585504781691774,-0.06147326577085519
76,210,shadetree,-0.0656164310784978,-0.06561642777869339,-0.04931015027764553
77,554,watchfire,-0.06529871301091321,-0.06529870972708658,-0.10922126312966503
78,1063,boneheads,-0.06388651333868559,-0.06388651012587747,-0.03496642737938341
79,1162,obrien,-0.06307402651173502,-0.06307402333978632,0.05932393622664973
80,715,gatorade,-0.06217092388320521,-0.06217092075667292,-0.07374920883565331
81,193,roth,-0.061556332482157236,-0.06155632938653233,-0.21828688558244408
82,1324,axion,-0.06135021666697911,-0.061350213581719625,-0.09310148942269955
83,335,aecom,-0.060109953471114835,-0.060109950448227305,-0.048144989483054026
84,916,lance,-0.05992565733982666,-0.05992565432620728,-0.09083643927645484
85,387,octopus,-0.05970048457683382,-0.05970048157453818,-0.030482067444168388
86,24,laird,-0.05961281860329005,-0.05961281560540313,-0.09433024437418511
87,1110,halco,-0.05916757445583915,-0.0591675714803432,0.06102699455966683
88,440,cybernet,-0.05871864719054432,-0.05871864423762462,-0.07308265990830458
89,104,wrangler,-0.05862871443374172,-0.058628711485344695,-0.10483186992952978
90,976,coors,-0.05856701865915141,-0.05856701571385703,-0.020366601638145368
91,1042,teledyne,-0.05855266361211986,-0.058552660667547364,-0.06510437254175147
92,288,optionshouse,-0.05850936714343796,-0.058509364201042774,-0.044704769480498806
93,1310,rayovac,-0.0574256699381484,-0.05742566705025161,-0.07615758047867216
94,86,lee,-0.05719143082984447,-0.05719142795372737,-0.09465823009871861
95,207,revo,-0.055819688956622496,-0.05581968614948937,-0.0633289986704636
96,1171,kontrolfreek,-0.055675889553896726,-0.05567588675399517,-0.05516956934286806
97,971,budweiser,-0.0552359350949342,-0.05523593231715762,-0.016559648084789682
98,1148,coleman,-0.05504909699740968,-0.05504909422902915,0.07830225888400408
