,Unnamed: 0,brand,alignment,CommonCrawl_alignment,CommonCrawl_resid_alignment
0,333,everbank,-0.17473946698548148,-0.08670816710313686,0.03814469568311944
1,159,greats,-0.1564899573385945,-0.17067572401480682,-0.0582524240564539
2,1064,brothers,-0.1424514455054443,-0.18645812919380422,-0.06807521561024907
3,1365,liftmaster,-0.12638196194371906,-0.1575732758922168,-0.017675348530517953
4,1011,harpoon,-0.12425969235582945,-0.1145304385566645,0.10238159373777986
5,1112,johnson,-0.1216495590362144,-0.2853599385001634,-0.04475491937494577
6,1097,booyah,-0.1208331010025596,-0.1297999748406172,0.04427030635029412
7,146,rampage,-0.12010300097415676,-0.17459202705681,-0.04691753749953144
8,35,reebok,-0.11815865388877154,-0.1288211154047843,-0.12418659066496326
9,349,esp,-0.1130207183957247,-0.09326871848780705,-0.028361920926952996
10,1424,jayco,-0.1088147405799182,-0.11103444208440066,-0.05634136774868789
11,1398,cobra,-0.10740265058831712,-0.1622769270524893,-0.06058399334265252
12,1104,daiwa,-0.10653876598562537,-0.06560839398653869,0.043653066144513294
13,1342,bosch,-0.1059515654238335,-0.21490899661890933,-0.11637455174011618
14,505,awin,-0.10570157206194801,-0.10207743815703327,-0.057122619000318654
15,982,landshark,-0.1009289714107133,-0.15751398635816405,0.09777770159244897
16,31,nike,-0.0997718321995113,-0.14560150431471044,-0.1483523942512624
17,589,jbm,-0.09941712691305356,-0.11673013482448613,0.09142608115412183
18,1117,mustad,-0.09940628492552853,-0.10175827665410803,0.022541427563424102
19,528,marco,-0.0972972743143686,-0.2739713030052492,-0.19625074144667162
20,40,shimano,-0.09709143981024172,-0.08682916577154173,-0.06354880569080487
21,138,lucchese,-0.09649913386804046,-0.13829317532119922,-0.03680054285256726
22,18,gill,-0.09499989384993753,-0.21162051263985124,-0.1816939964830249
23,499,wwe,-0.0911888561151609,-0.058004564912201406,-0.015902327679514758
24,267,pimco,-0.09043983729165088,-0.1703461388478292,-0.12159688759077397
25,1459,vistajet,-0.09039774177705204,-0.10599828804194834,-0.00718455951089203
26,260,invesco,-0.08847369691779124,-0.055583238371209404,0.01145383809048873
27,1352,emed,-0.08789661102010406,-0.18162588607003607,-0.09678656553184131
28,297,commsec,-0.08550789693708864,-0.07970145976858685,0.017195489388161664
29,604,dav,-0.08516738789854808,-0.22417399034557015,-0.1887964597214672
30,1467,mauisails,-0.08312243114503748,-0.11161260340957774,0.023157707455248665
31,870,magnum,-0.08155593185149995,-0.14341992720186203,-0.02352516700516782
32,534,multiview,-0.08108804226864344,-0.02325737662321179,0.06564085418493643
33,317,jefferies,-0.08055890422192137,-0.1799094696549856,-0.06334882448046528
34,613,saic,-0.08029476601019843,-0.1641273152383615,-0.13294171950486164
35,332,uif,-0.08026567270303242,-0.0708056251542456,0.08333401437799559
36,340,panchos,-0.07989067426800465,-0.08813402175877194,0.027461828492657235
37,27,mavic,-0.0792930937219664,-0.07149946795183557,-0.05672120240452714
38,157,ecco,-0.07832992321570467,-0.11606085314056754,-0.05153995847276019
39,1422,featherlite,-0.0781710189010129,0.009616256726116178,0.11415719907756822
40,249,bloomberg,-0.07670386875274257,-0.13632363429194838,-0.014715729798195382
41,25,leatt,-0.07657451903434527,-0.17232521553703484,-0.1570815409113566
42,1012,hatuey,-0.07623468539263606,-0.196501298292807,0.015639693311877048
43,0,adidas,-0.07610346289998511,-0.16524676819753575,-0.1695152458290437
44,1311,ryobi,-0.07552298339069531,-0.10724747641479741,-0.05349930335028959
45,1464,microgame,-0.0749472850460729,-0.10514454664418466,0.04516204389604492
46,97,sandro,-0.07448778315132852,-0.21836261057212203,-0.17820487748819352
47,39,scott,-0.07447701326235595,-0.2760843071757099,-0.22355342970019654
48,978,heineken,-0.07401751406169088,-0.17083265181842006,0.08617426864140834
49,728,alen,-0.07357992787343126,-0.17104528746457148,-0.14152329279605005
50,275,allianz,-0.07354809963596542,-0.09935227830396205,-0.01856949549329058
51,551,synacor,-0.07340269909067937,-0.1073395259383228,-0.038189341507736396
52,169,supra,-0.07334504713686099,-0.07096406043609159,0.02033590938845501
53,991,steinlager,-0.07317500481708625,-0.18436032402140598,0.08215225503557533
54,487,laff,-0.07234672597311781,-0.13326668506872405,-0.06460662142621379
55,1305,acdelco,-0.07228013542616307,-0.08877770298914717,0.01720824203306017
56,350,ifs,-0.07207118178573653,-0.11184173413667556,-0.061053283424254666
57,61,chubbies,-0.07142346255779312,-0.11521427750591955,-0.08732934342651219
58,29,mobius,-0.07086436007107272,-0.09910261340618656,-0.06859554993646531
59,469,zoom,-0.07081665190609683,-0.05783182939449864,-0.0028435711199526446
60,847,skinner,-0.07057688668777551,-0.19459157806031627,-0.04232215027117377
61,465,nexcess,-0.07038243626680186,-0.08881613859135093,0.0024319723471938337
62,917,mariner,-0.06962588116228571,-0.11253727447233745,-0.04538767957017042
63,1143,smith,-0.06950902762332198,-0.2742040441588996,-0.129101332382834
64,1405,toc,-0.06946701506050458,-0.04646591104105591,0.0022130823047736402
65,562,excalibur,-0.06918861583558314,-0.09493948885535217,0.03641059057106853
66,1228,bestar,-0.06909800743662596,-0.06838771875758723,0.029002481171299787
67,1107,frabill,-0.06877180116699144,-0.12070613876169081,0.04722817409778054
68,177,cenzo,-0.06805799691484085,-0.20613183612386904,-0.22224231454770976
69,790,scitec,-0.06713586969660656,-0.11594991298764204,-0.08491271936153313
70,1019,gambrinus,-0.06711220551506744,-0.1420130364991376,0.0960196137810746
71,131,gurus,-0.06708293363376698,-0.06566694763201011,0.006100085507018099
72,1164,rawlings,-0.06689211892090083,-0.17244124870764052,-0.011881105592947264
73,1037,furbo,-0.06684860321558456,-0.08120247713249676,-0.015722412991900088
74,1421,dutchmen,-0.0660531534599563,-0.18560189995016055,-0.08003712143888313
75,814,san,-0.06585505112872223,-0.19107889241787684,-0.17293740737821595
76,210,shadetree,-0.0656164310784978,-0.08434631627127352,0.018034053576365887
77,554,watchfire,-0.06529871301091321,-0.12290437086394107,-0.03562515846039018
78,1063,boneheads,-0.06388651333868559,-0.1408025401637673,-0.020326217807453167
79,1162,obrien,-0.06307402651173502,-0.13649405540829482,-0.02832065807896126
80,715,gatorade,-0.06217092388320521,-0.12373556346113644,-0.08093483030688452
81,193,roth,-0.061556332482157236,-0.20803186233241705,-0.21934112358797567
82,1324,axion,-0.06135021666697911,-0.095885770973342,-0.07660928219801007
83,335,aecom,-0.060109953471114835,-0.0875030023182568,-0.008848821380786662
84,916,lance,-0.05992565733982666,-0.2968748097493411,-0.21243769372914795
85,387,octopus,-0.05970048457683382,-0.14655946819218177,-0.055854821589936196
86,24,laird,-0.05961281860329005,-0.17746629071886294,-0.14404340890679992
87,1110,halco,-0.05916757445583915,-0.1535683518788755,-0.03351419621343441
88,440,cybernet,-0.05871864719054432,-0.0823141496142275,-0.02647658193003262
89,104,wrangler,-0.05862871443374172,-0.08092184744473249,-0.04767494023537361
90,976,coors,-0.05856701865915141,-0.16655397482094167,0.021305539378352216
91,1042,teledyne,-0.05855266361211986,-0.18396178151489156,-0.0765914875465035
92,288,optionshouse,-0.05850936714343796,-0.08288953082506274,0.08012539742915388
93,1310,rayovac,-0.0574256699381484,-0.10640565284659854,-0.036757455931688054
94,86,lee,-0.05719143082984447,-0.21870990074520505,-0.19665957490300306
95,207,revo,-0.055819688956622496,-0.08632303336897323,-0.03820793802675356
96,1171,kontrolfreek,-0.055675889553896726,-0.12547221192673397,0.06791983936426667
97,971,budweiser,-0.0552359350949342,-0.178238093147778,0.10142894237929873
98,1148,coleman,-0.05504909699740968,-0.2202710294626427,-0.053884742939696584
99,761,instone,-0.05476722775791768,-0.1307378673150396,-0.07423691892627218
100,511,designa,-0.05418882221203149,0.06723727276658092,0.15384969431962148
101,331,rabobank,-0.053762587465566974,-0.13061454952086582,-0.019900242468216083
102,1353,garrett,-0.053513004345920975,-0.24793807839645265,-0.07500534064491358
103,1312,saft,-0.053488589677016585,-0.15141920489001956,-0.10704455968674717
104,336,amone,-0.05285755064002343,-0.22852277588584163,-0.11499168651852767
105,51,zoot,-0.05279859313740326,-0.12375394451195454,-0.11718538094214341
106,255,gotham,-0.052735519658326735,-0.14961131428638025,-0.07226569534650437
107,96,rapala,-0.05237339735392038,-0.1065278490825016,-0.08928956842314612
108,1356,hid,-0.05194464286660545,-0.10448329563266656,-0.04996690316882173
109,1142,slick,-0.05180597489190665,-0.1487874494160713,-0.040207242151941304
110,259,icon,-0.0517560510373277,-0.09046325150257536,-0.03363262130228174
111,1170,fanatec,-0.05102147466622968,-0.07411750512861719,0.02316235952707658
112,238,exxonmobil,-0.05038462017514042,-0.10308004401234105,0.04329009164276441
113,377,htc,-0.050306153509265136,0.0384164012759381,0.06374919981217887
114,1015,miller,-0.050125416377218235,-0.23766968936245697,0.04186072984657305
115,1108,gamakatsu,-0.04991185538108085,-0.04544355269561072,0.13552648862541902
116,1193,baccarat,-0.04953648199207422,-0.04853024791818847,-0.019099464496583868
117,73,gabba,-0.04943567705790383,-0.14701544768528524,-0.13050016942051182
118,1220,valletta,-0.04858279173274646,-0.03692352919693341,-0.0039354263510108164
119,150,sporto,-0.047913809083496135,-0.06395507974229411,0.03565818577558587
120,1152,goalpost,-0.04742443927793394,-0.1477689554328659,-0.005555603569500073
121,302,goldmoney,-0.04717332743691738,-0.11089071931801839,-0.0029014078780479693
122,1307,duracell,-0.046998828528954886,-0.15020675847755263,-0.06567337289160596
123,103,vince,-0.04698534950122064,-0.27829669627590625,-0.23534482416900965
124,1052,redfish,-0.046981190242738634,-0.061555897779797406,0.013734039081948675
125,559,bdi,-0.04681553691937517,-0.10660979833606421,0.050003260306706626
126,1199,gibson,-0.04610600065001519,-0.23031395383674558,-0.16876839553425663
127,1168,wincraft,-0.045728056040506386,-0.12423331687244853,-0.00201730377204222
128,366,bos,-0.04518068618679957,-0.15487466187964002,-0.11366556703048535
129,998,yuengling,-0.044636680722220996,-0.18466356484209712,0.07218786907974346
130,498,unimas,-0.04445863835959354,-0.10338626068120618,0.006312177836837605
131,974,carlsberg,-0.04400322830300942,-0.15560540405761542,0.09981056030016779
132,160,kuru,-0.0439458201604464,-0.07114832391141335,-0.0067059181003561175
133,780,phillips,-0.0438212374659324,-0.19880149515931042,-0.1123191068358514
134,669,sensu,-0.043705406225181535,-0.02711003294020864,-0.018170266582861166
135,230,prosper,-0.04348787612866649,-0.13321547941969947,-0.007083800692789084
136,537,nielsen,-0.04347630061716433,-0.141796076207156,-0.0587495161070965
137,247,betashares,-0.043344659637972384,-0.05106199534909289,0.0726527734212506
138,107,aldo,-0.043137910465919485,-0.19328714754290435,-0.1387326875264585
139,731,ascent,-0.04302043341518071,-0.16823603170031645,-0.1247481775996966
140,720,paleo,-0.04283104320799267,-0.018151324615916842,0.014105506814033802
141,301,forex,-0.04272956304525392,-0.0619108585842703,-0.0020560556866467926
142,32,puma,-0.04246150488105236,-0.11307634150877593,-0.10611970794055908
143,338,credible,-0.04232704218446814,-0.07997970279043651,0.03956512356158006
144,306,stash,-0.042264954517984864,-0.02946861891567917,0.0338790433530664
145,12,dainese,-0.04171139488690344,-0.1318689867297419,-0.11463468669475026
146,250,cboe,-0.04126298626552155,-0.061487785231588724,0.017010050004141433
147,1175,telltale,-0.041244091703553656,-0.11860776270934784,0.006888851511339715
148,591,marel,-0.04076081080079675,-0.0345569770409441,0.03918169404619168
149,405,viasat,-0.04039887597568469,-0.057202409505157106,0.0005834294445436657
150,234,netspend,-0.04030996308694426,-0.0151764768604188,0.09119847853460562
151,373,epix,-0.04029449229335437,-0.15456451256727177,-0.11849861243925927
152,273,vanguard,-0.03997618343092689,-0.07215293356466326,0.038389206008355256
153,356,sunbelt,-0.039950883181298434,-0.12411023435560334,-0.013864517555361534
